Sent: {'order_id': 1001, 'customer_id': 185, 'product_id': 46, 'quantity': 9, 'price': 405.37, 'order_time': '2026-09-10 20:09:26'}
Sent: {'order_id': 1002, 'customer_id': 203, 'product_id': 16, 'quantity': 10, 'price': 42.46, 'order_time': '2026-09-10 20:09:28'}
Sent: {'order_id': 1003, 'customer_id': 393, 'product_id': 29, 'quantity': 10, 'price': 255.03, 'order_time': '2026-09-10 20:09:29'}
Sent: {'order_id': 1004, 'customer_id': 495, 'product_id': 31, 'quantity': 5, 'price': 464.42, 'order_time': '2026-09-10 20:09:30'}
Sent: {'order_id': 1005, 'customer_id': 236, 'product_id': 31, 'quantity': 6, 'price': 74.84, 'order_time': '2026-09-10 20:09:32'}
Sent: {'order_id': 1006, 'customer_id': 237, 'product_id': 9, 'quantity': 9, 'price': 57.24, 'order_time': '2026-09-10 20:09:33'}
Sent: {'order_id': 1007, 'customer_id': 284, 'product_id': 16, 'quantity': 4, 'price': 494.79, 'order_time': '2026-09-10 20:09:35'}
Sent: {'order_id': 1008, 'customer_id': 319, 'product_id': 29, 'quantity': 1, 'price': 107.39, 'order_time': '2026-09-10 20:09:37'}
Sent: {'order_id': 1009, 'customer_id': 297, 'product_id': 13, 'quantity': 7, 'price': 14.36, 'order_time': '2026-09-10 20:09:39'}
Sent: {'order_id': 1010, 'customer_id': 106, 'product_id': 1, 'quantity': 10, 'price': 447.39, 'order_time': '2026-09-10 20:09:40'}
Sent: {'order_id': 1011, 'customer_id': 270, 'product_id': 7, 'quantity': 5, 'price': 18.36, 'order_time': '2026-09-10 20:09:42'}
Sent: {'order_id': 1012, 'customer_id': 442, 'product_id': 9, 'quantity': 6, 'price': 53.0, 'order_time': '2026-09-10 20:09:44'}
Sent: {'order_id': 1013, 'customer_id': 238, 'product_id': 43, 'quantity': 10, 'price': 452.54, 'order_time': '2026-09-10 20:09:46'}
Sent: {'order_id': 1014, 'customer_id': 432, 'product_id': 49, 'quantity': 7, 'price': 308.13, 'order_time': '2026-09-10 20:09:47'}
Sent: {'order_id': 1015, 'customer_id': 280, 'product_id': 36, 'quantity': 6, 'price': 95.62, 'order_time': '2026-09-10 20:09:49'}
Sent: {'order_id': 1016, 'customer_id': 305, 'product_id': 36, 'quantity': 9, 'price': 122.45, 'order_time': '2026-09-10 20:09:50'}
Sent: {'order_id': 1017, 'customer_id': 296, 'product_id': 48, 'quantity': 5, 'price': 75.92, 'order_time': '2026-09-10 20:09:51'}
Sent: {'order_id': 1018, 'customer_id': 434, 'product_id': 44, 'quantity': 9, 'price': 265.43, 'order_time': '2026-09-10 20:09:53'}
Sent: {'order_id': 1019, 'customer_id': 118, 'product_id': 24, 'quantity': 9, 'price': 338.7, 'order_time': '2026-09-10 20:09:54'}
Sent: {'order_id': 1020, 'customer_id': 243, 'product_id': 36, 'quantity': 6, 'price': 53.61, 'order_time': '2026-09-10 20:09:56'}
Sent: {'order_id': 1021, 'customer_id': 452, 'product_id': 36, 'quantity': 1, 'price': 109.75, 'order_time': '2026-09-10 20:09:57'}
Sent: {'order_id': 1022, 'customer_id': 408, 'product_id': 19, 'quantity': 1, 'price': 259.42, 'order_time': '2026-09-10 20:09:59'}
Sent: {'order_id': 1023, 'customer_id': 160, 'product_id': 32, 'quantity': 1, 'price': 74.52, 'order_time': '2026-09-10 20:10:00'}
Sent: {'order_id': 1024, 'customer_id': 484, 'product_id': 23, 'quantity': 9, 'price': 339.84, 'order_time': '2026-09-10 20:10:02'}
Sent: {'order_id': 1025, 'customer_id': 355, 'product_id': 46, 'quantity': 6, 'price': 420.82, 'order_time': '2026-09-10 20:10:03'}
Sent: {'order_id': 1026, 'customer_id': 380, 'product_id': 15, 'quantity': 7, 'price': 348.92, 'order_time': '2026-09-10 20:10:04'}
Sent: {'order_id': 1027, 'customer_id': 141, 'product_id': 29, 'quantity': 5, 'price': 330.48, 'order_time': '2026-09-10 20:10:06'}
Sent: {'order_id': 1028, 'customer_id': 477, 'product_id': 12, 'quantity': 6, 'price': 118.07, 'order_time': '2026-09-10 20:10:07'}
Sent: {'order_id': 1029, 'customer_id': 227, 'product_id': 2, 'quantity': 8, 'price': 479.01, 'order_time': '2026-09-10 20:10:09'}
Sent: {'order_id': 1030, 'customer_id': 255, 'product_id': 21, 'quantity': 4, 'price': 23.21, 'order_time': '2026-09-10 20:10:11'}
Sent: {'order_id': 1031, 'customer_id': 314, 'product_id': 12, 'quantity': 2, 'price': 154.15, 'order_time': '2026-09-10 20:10:13'}
Sent: {'order_id': 1032, 'customer_id': 142, 'product_id': 47, 'quantity': 4, 'price': 224.38, 'order_time': '2026-09-10 20:10:14'}
